Name,Peer-review,Focus,Submission,Language,Impact factor,Google Scholar,DOI,ORCID,Open Access,Publication Fee/APC,Personal Score,Notes,URL
American Journal of Play,Yes ,No,,EN,No,Yes,No,No,Yes,,3,Board games,https://www.journalofplay.org/
Analog Game Studies,No,Yes,,EN,No,No,No,No,Yes,,3,Blog format,https://analoggamestudies.org/
Board Game Studies Journal,Yes ,No,,EN,No,Yes,Yes,No,Yes,,2,Board games,https://sciendo.com/journal/bgs
Collection Building,Yes ,2,,EN,No,Yes,Yes,No,No,,2,Only for library collection,https://www.emerald.com/insight/publication/issn/0160-4953
G|A|M|E The Italian Journal of Game Studies ,Yes ,No,,EN,No,Yes,No,No,Yes,,0,Video games,https://www.gamejournal.it/
Game Studies,Yes ,No,,EN,No,Yes,No,No,Yes,,0,Video games,http://www.gamestudies.org  
Games,Yes ,No,,EN,Yes,Yes,Yes,Yes,Yes,,0,"Mathematics, Game theory. MDPI",https://www.mdpi.com/journal/games
Games and Culture,Yes ,8,,EN,Yes,Yes,Yes,Yes,No,,1,Important journal for glory and career imho,https://journals.sagepub.com/home/gac
Interactive Fantasy,No,Yes,,EN,No,No,No,No,x,,0,Ceased publication,x
International Journal of Play Therapy,Yes ,No,,EN,No,Yes,Yes,Yes,No,,3,Play therapy,https://www.apa.org/pubs/journals/pla
International Journal of Role-Playing,Yes ,Yes,,EN,No,No,No,No,Yes,,1,Main journal focused on TTRPG Don’t know if well recognized by scholarly world,http://ijrp.subcultures.nl/
Journal of Contemporary Ethnography,Yes ,2,,EN,Yes,Yes,Yes,Yes,No,,3,Anthropology,https://journals.sagepub.com/home/jce
"Journal of Games, Self & Society",Yes ,No,,EN,No,Yes,Yes,No,No,,3,Games (broad definition). One PDF for one issue (not by article),https://press.etc.cmu.edu/index.php/product/journal-of-games-self-society-vol-1-no-1/
Journal of Interactive Drama,No,No,,EN,No,No,No,No,Yes,,0,Theater mostly. One PDF for one issue (not by article),http://www.interactivedramas.info/journal.htm
Journal of the Fantastic in the Arts,Yes ,2,,EN,No,Yes,No,No,No,,3,Poor web presence. Only online through Jstor.,https://www.jstor.org/journal/jfantarts
Nordic Larp,No,Larp,,EN,No,No,No,No,Yes,,3,Blog format,https://nordiclarp.org/
PhD&D Journal,Yes ,Yes,,EN,No,Yes,No,No,Yes,,2,"New journal, one PDF for one Issue (not by article)",http://www.phdnd.org/phdd-journal.html
Psychological Reports,Yes ,6,,EN,Yes,Yes,Yes,Yes,No,,0,Debunking of TTRPG moral panics in the 90’s,https://journals.sagepub.com/home/prx
Reconstruction: Studies in Contemporary Culture,Yes ,3,,EN,No,No,No,No,Yes,,3,,http://reconstruction.digitalodu.com/
Sciences du jeu,Yes ,3,,FR,No,Yes,Yes,No,Yes,,2,Board games,https://journals.openedition.org/sdj/
Simulation & Gaming,Yes ,5,,EN,Yes,Yes,Yes,Yes,No,,1,Important journal for glory and career imho,https://journals.sagepub.com/home/sag
Sociétés contemporaines,Yes ,2,,FR,No,Yes,Yes,No,No,,3,Very broad and interdisciplinary,https://www.cairn.info/revue-societes-contemporaines.htm
The Journal of Popular Culture,Yes ,2,,EN,Yes,Yes,Yes,No,No,,0,,https://onlinelibrary.wiley.com/journal/15405931
Thinking Skills and Creativity,Yes ,2,,EN,Yes,Yes,Yes,Yes,No,,0,Focused on creativity with psychology empiric methods,https://www.journals.elsevier.com/thinking-skills-and-creativity
Transformative Works and Cultures,Yes ,2,,EN,No,Yes,Yes,No,Yes,,0,,http://journal.transformativeworks.org
Well Played,No,No,,EN,No,No,Yes,No,Yes,,0,Video games. One PDF for one Issue (not by article),http://press.etc.cmu.edu/index.php/publication-tag/well-played/
